system   I             system.c:245  al_install_system                [   0.00034] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:388  _al_score_display_settings       [   0.01728] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01729] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01731] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01734] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01735] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01737] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01738] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01739] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01741] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01742] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01744] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01745] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01747] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01748] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01750] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01751] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01752] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01754] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01755] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01757] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01758] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01760] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01762] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01764] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01765] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.01767] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01769] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01771] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01773] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01774] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01775] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01777] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01778] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01780] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01781] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01783] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01784] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01786] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.01789] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.01790] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01792] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01793] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01796] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01797] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01799] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01801] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01802] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01805] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01806] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01808] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01811] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01812] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01814] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01815] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01817] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01818] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01819] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01821] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01822] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01823] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01825] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01826] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01828] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01829] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01831] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01832] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01834] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01835] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01836] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01838] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01839] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01841] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01842] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01843] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01845] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01846] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01848] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01849] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01851] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01852] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01854] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01855] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01856] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01858] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01859] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01861] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01863] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01865] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01866] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01867] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01869] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01871] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01874] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01875] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01877] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01878] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01880] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01881] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01883] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01884] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01886] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01887] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01889] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01890] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01892] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01894] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01895] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01897] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01899] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01900] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01902] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01903] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01905] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01906] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01908] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01909] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01911] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01912] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01914] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01915] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01917] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01918] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01920] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01921] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01923] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01924] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01926] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01927] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01929] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01930] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01932] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01933] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01935] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01936] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01938] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01939] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01941] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01942] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01944] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01945] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01947] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01948] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01950] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01951] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01953] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01954] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01956] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01957] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01959] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01960] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01962] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01963] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01965] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.01966] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01968] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.01969] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01971] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.01972] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01974] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.01975] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01985] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.01986] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01988] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.01989] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01991] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01992] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01994] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.01995] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01997] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.01998] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02000] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.02001] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02003] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.02004] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02006] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.02007] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02009] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.02010] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02012] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.02013] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.02015] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.02016] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02018] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02019] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02021] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02022] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02024] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02025] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02027] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02028] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02030] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02033] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02035] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02036] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02038] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02039] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02041] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02042] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02044] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02045] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02047] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02048] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02050] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02051] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02053] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02054] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02056] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02057] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02059] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02060] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02062] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02064] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02065] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02067] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02068] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02070] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02071] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02073] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02074] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02076] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02077] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02079] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02080] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02082] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02083] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02085] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02087] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02088] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02090] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02091] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02093] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02094] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02096] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02097] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02099] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02101] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02103] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02104] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02106] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02107] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02109] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02113] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02114] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02116] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02117] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02119] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02120] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02122] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02123] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02125] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02126] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02128] Single Buffer requirement not met.
